,_id,title,text,rating,reviewer_handle,language,airline_name,flight_date,flight_connection,flight_type,booking_class
0,BAFHFJ4n,,"Ich bin sehr positiv angetan mit diese Gesellschaft geflogen zu haben,es gab sogar 2 mal Mahlzeit, sehr lecker!!
Sehr freundliches Personal, alles bestens!!",5.0,,,Emirates,,,,
1,DKCtYZuj,,"Flug war auf der Hinreise knapp 1 Stunde verspätet, es gab jedoch keinen Hinweis. Man wartete einfach.

Beinfreiheit: Durchschnittlich

Entertainment: Gute Filmauswahl.

Essen: War leider eher schlecht. Nur 2 Gerichte, großer Minuspunkt: kein vegetarisches Gericht. Getränkeauswahl war gut.

Service: Nett jedoch nicht zuvorkommend. Alles nur auf explizite Nachfrage und man bekam das Gefühl, dass es nicht wirklich erwünscht war

Vergleich: KLM und Lufthansa: gleiche Flugstrecke. Zuvorkommend, freundlich, es werden häufiger Getränke und Snacks serviert und wenn man hinten steht, um sich die Beine zu vertreten, scheinen KLM und Lufthansa das gut verstehen zu können. Emirates-Mitarbeitende vermitteln den Eindruck, dass man doch eher im Weg ist.

Fazit: Würde ich nur wieder buchen wenn am günstigsten. Titel der besten Airline der Welt ggf. nur, weil sie regelmäßig upgraden.",3.0,,,Emirates,,,,
2,gUyMgdC3,,"Flug wurde von Sbg ursprünglich gebucht. Wurde seitens Emirates storniert und die dadurch entstanden Mehrkosten nicht erstattet. Kosten mind. 300 Euro mehr und man hatte keine Chance auf Erstattung. Wurde mit einer Lounge Einladung (Wert zu dem Zeitpunkt 25, - pro Person), jedoch nur für Wien. Umbuchung aufgrund Hotel bzw. Inlandsflügen in Thailand nicht möglich. In Zukunft lieber nicht mehr. Service schlecht zu diesem Thema.",2.0,,,Emirates,,,,
3,MHjJQCeQ,,"Wir sind um 15 Uhr 30 in den Flieger gestiegen und um 18 Uhr 45, also über 3 Stunden später gab es endlich mal was zu trinken. Dazu wurde auch gleich das Essen serviert. Essen konnte man das weder beim Hin- noch beim Rückflug betiteln. Der Bauch wurde halt gefüllt. Aber nur mit dem Nötigsten . Kurz gesagt, das Essen ist grauenvoll. Die Semmel war übrigens noch gefroren.
Außerdem war die Maschine dermaßen runtergekühlt, daß man es nur mit 2 Decken aushalten konnte. Nach der überirdischen Hitze in Dubai eine Zumutung für den Körper, was bei mir z.B. am nächsten Tag eine heftige Blasenentzündung hervorrief.
Ich finde das alles reichlich unzumutbar.",2.0,,,Emirates,,,,
4,ppb5iYWW,,"Flug war auf der Hinreise 2h verspätet, auf der Rückreise auf die Minute genau.

Beinfreiheit: Durchschnittlich

Entertainment: Sehr gute Filmauswahl, Kopfhörer katastrophal schlecht, Normale Kopfhörer nur mit Adapter verwendbar, USB-Ladebuchse und Steckdose vorhanden, WLAN und Mobilfunk nur gegen hohen Aufpreis.

Essen: War leider sehr schlecht, keine vorherige Auswahl möglich. Nur 2 Gerichte, keines vegetarisch. Getränkeauswahl war gut. Kaffee wie Wasser. Zusätzliches essen nur auf Nachfrage und dann das übrig gebliebene Essen.

Service: Nett aber nicht zuvorkommend. Alles nur auf explizite Nachfrage.

Pflegeartikel: Keine Zahnbürsten, keine Socken, keine Schlafmasken, Toiletten zwischendurch nicht gereinigt.

Vergleich: EVA-Air gleiche Mediaauswahl und Sitze. Unüberschaubar große Essensauswahl. Service sehr zuvorkommend. Andauernd läuft jemand mit Snacks und Getränken Rum und bietet einem was an. Gute Inear- Kopfhörer und normaler Aux- Anschluss. Jeder bekommt komplettes Pflegepaket.

Fazit: Würde ich nur wieder buchen wenn am günstigsten. Titel der besten Airline der Welt wohl eher gekauft wie die WM in Katar.",3.0,,,Emirates,,,,
5,HF1dz34d,,"Ich und mein Freund flogen Mitte April nach Dubai. Ich habe über das Reisebüro den Flug sowie das Hotel gebucht. Ich habe für den Hin- und Zurück Flug einen Sitz mit mehr Beinfreiheit reserviert und dafür zusätzlich 352,00 Euro bezahlt. Bei Ankunft am Flughafen in München wurden…",1.0,,,Emirates,,,,
6,VLoFweME,,"Rückreise aus Neuseeland war folgenderweise geplant: Einstieg in Christchurch - umsteigen in Dubai - Ankunft in Hamburg. Wir hatten alles mehrere Monate im Voraus gebucht und bezahlt. Ein paar Wochen vor dem Rückflug hat uns Emirates mitgeteilt, dass der Flughafen Christchurch…",1.0,,,Emirates,,,,
7,xNdUlC5l,,"Der Flug von Frankfurt nach Dubai und, der Flug von Dubai nach Tokio und der Flug von Tokio nach Dubai waren vom Service hervorragend. Der einzige Nachteil ist, die Bein Freiheit und Sitzplatz Komfort. Ich hätte mir gewünscht, Gerade weil es die emirates ist und ein ca. 11…",4.0,,,Emirates,,,,
8,4NsVzOzj,,"Urlaubsreise zu den Seychellen, waren mit Emirates sehr gut betreut worden. Nette Flugbegleiter, haben alle Wünsche erfüllt.",5.0,,,Emirates,,,,
9,to6o8fRs,,"Toller Service, freundliches Personal und Essen auf hohem Niveau. Sitzplatz konnte vorher ausgewählt werden. Alles bestens.",5.0,,,Emirates,,,,
